name,generation,role,status,recommendation_route,official_term_or_appointment,minutes_first_seen,minutes_last_seen,appearances,profile_path,persona_status
윤종인,1기,위원장,former,상임위원 임명,2020-08~2022-10,2020-08-05,2022-09-28,44,../04_members/윤종인.md,profile_seed
최영진,1기,부위원장,former,상임위원 임명,2020-08~2022-09,2020-08-05,2022-07-13,40,../04_members/최영진.md,profile_seed
강정화,1기,위원,former,대통령 위촉,2020-08-05~2023-08-04,2020-08-05,2023-07-26,50,../04_members/강정화.md,profile_seed
염흥열,1기,위원,former,대통령 위촉,2020-08-05~2023-08-04,2020-08-05,2023-07-26,58,../04_members/염흥열.md,profile_seed
서종식,1기,위원,former,여당 추천,2020-08-05~2023-08-04,2020-08-05,2023-07-26,59,../04_members/서종식.md,profile_seed
이희정,1기,위원,former,여당 추천,2020-08-05~2023-08-04,2020-08-05,2023-07-26,52,../04_members/이희정.md,profile_seed
고성학,1기,위원,former,야당 추천,2020-08-05~2023-08-04,2020-08-05,2023-07-26,62,../04_members/고성학.md,profile_seed
지성우,1기,위원,former,야당 추천,2020-08-05~2023-08-04,2020-08-05,2023-07-26,61,../04_members/지성우.md,profile_seed
백대용,1기,위원,former,야당 추천,2020-08-05~2023-08-04,2020-08-05,2023-07-26,59,../04_members/백대용.md,profile_seed
최장혁,1기 후반~2기 초반,부위원장,former,상임위원 임명,2022-09~2025-11,2022-09-28,2025-09-24,62,../04_members/최장혁.md,profile_seed
고학수,1기 후반~2기 초반,위원장,former,상임위원 임명,2022-10~2025-10,2022-10-19,2025-09-24,54,../04_members/고학수.md,profile_seed
김일환,2기,위원,current,여당 추천,2023-09-21~2026-09-20,2023-10-11,2026-03-25,51,../04_members/김일환.md,profile_seed
김진욱,2기,위원,current,여당 추천,2023-09-21~2026-09-20,2023-10-11,2026-03-25,51,../04_members/김진욱.md,evidence_collecting
김진환,2기,위원,current,위원장 제청,2023-09-21~2026-09-20,2023-10-11,2026-03-25,52,../04_members/김진환.md,profile_seed
박상희,2기,위원,current,야당 추천,2023-09-21~2026-09-20,2023-10-11,2026-03-25,52,../04_members/박상희.md,evidence_collecting
윤영미,2기,위원,current,야당 추천,2023-09-21~2026-09-20,2023-10-11,2026-03-25,52,../04_members/윤영미.md,profile_seed
조소영,2기,위원,former,위원장 제청,2023-09-21~중도 사퇴,2023-10-11,2024-11-27,25,../04_members/조소영.md,profile_seed
이문한,2기,위원,current,야당 추천,2024-03-11~확인 필요,2024-03-13,2026-03-25,41,../04_members/이문한.md,profile_seed
김휘강,2기,위원,current,위원장 제청,2025-03-14~확인 필요,2025-03-26,2026-03-25,19,../04_members/김휘강.md,evidence_collecting
송경희,2기,위원장,current,상임위원 임명,2025-10~현재,2025-10-22,2026-03-25,6,../04_members/송경희.md,evidence_collecting
이정렬,2기,부위원장,current,상임위원 임명,2025-11~현재,2025-11-20,2026-03-25,7,../04_members/이정렬.md,profile_seed
