source_id,source_type,case_or_agenda,law_name,article,issue,mcp_status
2026-0204,decision_case,공무원연금공단,개인정보 보호법,제24조 제3항,고유식별정보 안전조치,pending
2026-0204,decision_case,공무원연금공단,개인정보 보호법,제29조,안전조치의무,pending
2026-0204,decision_case,공무원연금공단,개인정보 보호법,제64조의2,과징금,pending
2026-0204,decision_case,공무원연금공단,개인정보 보호법,제65조,징계권고,pending
2026-0204,decision_case,공무원연금공단,개인정보 보호법,제66조,공표,pending
2026-0204,decision_case,강북구청,개인정보 보호법,제29조,안전조치의무,pending
2026-0204,decision_case,강북구청,개인정보 보호법,제34조 제1항,유출 통지·신고,pending
2026-0204,decision_case,강북구청,개인정보 보호법,제64조,시정조치,pending
2026-0204,decision_case,강북구청,개인정보 보호법,제64조의2,과징금,pending
2026-0204,decision_case,강북구청,개인정보 보호법,제66조,공표,pending
2026-0204,decision_case,강북구청,개인정보 보호법,제75조,과태료,pending
